vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,randomized_configurations
4,0.125,66,1,0.001737356185913086,4,1000
4,0.25,52,2,0.0019202232360839844,14,1000
4,0.5,87,1,0.002126455307006836,45,1000
4,0.75,69,1,0.002783060073852539,311,1000
5,0.125,150,2,0.002052783966064453,14,1000
5,0.25,168,2,0.0024635791778564453,39,1000
5,0.5,25,1,0.0026383399963378906,303,1000
5,0.75,15,2,0.004896402359008789,3528,1000
6,0.125,78,2,0.0019626617431640625,14,1000
6,0.25,53,3,0.002442598342895508,93,1000
6,0.5,41,2,0.0047130584716796875,3355,1000
6,0.75,46,2,0.009545087814331055,15214,1000
7,0.125,129,3,0.002096891403198242,35,1000
7,0.25,69,2,0.0030210018157958984,625,1000
7,0.5,155,3,0.008248090744018555,11599,1000
7,0.75,38,3,0.012857437133789062,23665,1000
8,0.125,286,4,0.0022983551025390625,80,1000
8,0.25,77,2,0.0036156177520751953,1355,1000
8,0.5,93,3,0.011509180068969727,19236,1000
8,0.75,162,4,0.016852855682373047,34675,1000
9,0.125,151,4,0.0025098323822021484,190,1000
9,0.25,86,3,0.0051538944244384766,4211,1000
9,0.5,101,4,0.014353036880493164,27936,1000
9,0.75,146,5,0.021158456802368164,46247,1000
10,0.125,123,4,0.002698659896850586,442,1000
10,0.25,94,3,0.008451700210571289,12175,1000
10,0.5,90,4,0.01832723617553711,37706,1000
10,0.75,184,5,0.0270383358001709,59542,1000
11,0.125,172,4,0.0032606124877929688,1111,1000
11,0.25,305,4,0.010459423065185547,17304,1000
11,0.5,197,4,0.022269487380981445,46930,1000
11,0.75,218,5,0.03295135498046875,74415,1000
12,0.125,212,4,0.004805564880371094,3783,1000
12,0.25,243,7,0.013127803802490234,22716,1000
12,0.5,233,6,0.025499820709228516,54020,1000
12,0.75,325,7,0.03910946846008301,88034,1000
13,0.125,205,5,0.0053958892822265625,5318,1000
13,0.25,205,6,0.015137195587158203,28789,1000
13,0.5,354,9,0.03138232231140137,67765,1000
13,0.75,373,9,0.04770636558532715,108394,1000
14,0.125,254,7,0.007318019866943359,9113,1000
14,0.25,236,8,0.01665806770324707,30863,1000
14,0.5,210,11,0.0361027717590332,77790,1000
14,0.75,344,7,0.058371782302856445,123888,1000
15,0.125,77,4,0.009798049926757812,15021,1000
15,0.25,276,8,0.021284103393554688,41566,1000
15,0.5,383,10,0.04498720169067383,92272,1000
15,0.75,468,14,0.0659029483795166,142229,1000
16,0.125,268,7,0.008778572082519531,13063,1000
16,0.25,291,8,0.02263665199279785,44513,1000
16,0.5,313,10,0.04956507682800293,105650,1000
16,0.75,405,10,0.07996463775634766,170611,1000
17,0.125,254,6,0.012931585311889648,19459,1000
17,0.25,369,12,0.027559280395507812,52539,1000
17,0.5,394,13,0.05920577049255371,120682,1000
17,0.75,547,14,0.09473729133605957,188211,1000
18,0.125,364,7,0.014576196670532227,24472,1000
18,0.25,529,9,0.030308008193969727,59983,1000
18,0.5,425,12,0.06534504890441895,135920,1000
18,0.75,720,16,0.10497045516967773,214751,1000
19,0.125,254,10,0.017163515090942383,27651,1000
19,0.25,550,13,0.03511643409729004,67731,1000
19,0.5,548,12,0.07663774490356445,154766,1000
19,0.75,660,15,0.1156005859375,235206,1000
20,0.125,478,11,0.01859760284423828,29906,1000
20,0.25,449,12,0.039281606674194336,76040,1000
20,0.5,621,12,0.08687853813171387,164433,1000
20,0.75,865,20,0.1321396827697754,260178,1000
21,0.125,512,10,0.020013809204101562,35120,1000
21,0.25,537,13,0.05451679229736328,87939,1000
21,0.5,766,13,0.0990760326385498,185024,1000
21,0.75,594,15,0.1519458293914795,295750,1000
22,0.125,503,10,0.021492719650268555,36649,1000
22,0.25,657,15,0.05118370056152344,97090,1000
22,0.5,702,16,0.11163854598999023,211636,1000
22,0.75,893,17,0.1705937385559082,323511,1000
23,0.125,475,12,0.02556610107421875,43819,1000
23,0.25,621,13,0.05927109718322754,110158,1000
23,0.5,741,15,0.12286543846130371,230609,1000
23,0.75,956,21,0.19115304946899414,348519,1000
24,0.125,400,13,0.02894425392150879,49633,1000
24,0.25,572,14,0.06089901924133301,112157,1000
24,0.5,1012,19,0.136246919631958,251674,1000
24,0.75,752,18,0.2171478271484375,395616,1000
25,0.125,629,12,0.030339956283569336,52671,1000
25,0.25,848,16,0.07159805297851562,127495,1000
25,0.5,863,19,0.15180516242980957,270780,1000
25,0.75,1062,24,0.23861217498779297,425001,1000
26,0.125,728,11,0.03461122512817383,59988,1000
26,0.25,930,22,0.08086466789245605,140641,1000
26,0.5,808,20,0.16398954391479492,292478,1000
26,0.75,738,20,0.2668442726135254,466082,1000
27,0.125,665,15,0.03532576560974121,60385,1000
27,0.25,787,23,0.08522748947143555,149733,1000
27,0.5,1044,24,0.18816304206848145,329076,1000
27,0.75,1159,25,0.2902944087982178,499541,1000
28,0.125,572,18,0.03968620300292969,69627,1000
28,0.25,817,17,0.0939173698425293,164387,1000
28,0.5,950,20,0.20898842811584473,355352,1000
28,0.75,1172,29,0.31256556510925293,534023,1000
29,0.125,981,16,0.04418158531188965,74417,1000
29,0.25,1070,19,0.10191011428833008,175410,1000
29,0.5,1089,30,0.22692084312438965,376718,1000
29,0.75,1199,27,0.3433823585510254,574250,1000
30,0.125,598,16,0.05055403709411621,81648,1000
30,0.25,835,22,0.11249756813049316,184022,1000
30,0.5,1020,23,0.2407534122467041,397756,1000
30,0.75,1390,31,0.3892171382904053,629170,1000
