Filename,Word,Exact Rank,Csuros Rank,Stream Rank,Type
Romeo_and_Juliet_2000_english_cleaned,thou,1,1.0,1.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,thy,2,2.0,2.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,rom,3,4.0,3.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,romeo,4,7.0,4.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,thee,5,8.0,5.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,loue,6,5.0,6.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,haue,7,3.0,7.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,shall,8,6.0,8.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,come,9,,10.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,iul,10,,9.0,Most Frequent
Romeo_and_Juliet_2000_english_cleaned,bucklers,1,,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,carry,2,,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,coales,3,,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,colliars,4,,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,mean,5,2.0,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,choller,6,,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,oth,7,,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,collar,8,,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,moues,9,,,Least Frequent
Romeo_and_Juliet_2000_english_cleaned,runst,10,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,thou,1,1.0,1.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,thy,2,6.0,2.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,rom,3,2.0,3.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,nurse,4,5.0,4.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,thee,5,3.0,5.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,love,6,,6.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,romeo,7,10.0,7.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,jul,8,7.0,8.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,shall,9,9.0,9.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,come,10,4.0,10.0,Most Frequent
Romeo_and_Juliet_1999_english_cleaned,bucklers,1,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,coals,2,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,colliers,3,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,collar,4,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,moves,5,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,runnst,6,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,weakest,7,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,weaker,8,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,vessels,9,,,Least Frequent
Romeo_and_Juliet_1999_english_cleaned,push,10,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,a,1,1.0,1.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,plus,2,3.0,2.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,si,3,4.0,3.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,roméo,4,2.0,4.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,cette,5,,5.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,bien,6,6.0,6.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,mort,7,7.0,7.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,comme,8,8.0,8.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,cest,9,,9.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,frère,10,,10.0,Most Frequent
Romeo_and_Juliet_2006_french_cleaned,notice,1,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,_montaigu_,2,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,_capulet_,3,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,vivaient,4,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,combats,5,3.0,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,sanglants,6,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,inutilement,7,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,travaillé,8,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,étaitil,9,,,Least Frequent
Romeo_and_Juliet_2006_french_cleaned,parvenu,10,4.0,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,romeo,1,1.0,1.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,julia,2,2.0,2.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,capulet,3,3.0,3.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,wärterin,4,8.0,4.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,o,5,,5.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,mercutio,6,4.0,6.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,benvolio,7,9.0,7.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,nacht,8,,8.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,gräfin,9,5.0,9.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,ja,10,,10.0,Most Frequent
Romeo_and_Juliet_2004_german_cleaned,william,1,,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,übersetzt,2,,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,august,3,1.0,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,wilhelm,4,,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,schlegel,5,,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,escalus,6,,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,miteinander,7,,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,vorigen,8,,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,onkel,9,,,Least Frequent
Romeo_and_Juliet_2004_german_cleaned,franziskaner,10,,,Least Frequent
